LocationState,DescriptionSeverity
SA,property_damage
SA,property_damage
SA,property_damage
SA,serious_injury
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,minor_injury
SA,serious_injury
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,minor_injury
SA,property_damage
SA,minor_injury
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,minor_injury
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,minor_injury
SA,property_damage
SA,minor_injury
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,fatality
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,minor_injury
SA,property_damage
SA,minor_injury
SA,minor_injury
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,minor_injury
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,serious_injury
SA,property_damage
SA,property_damage
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,serious_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,fatality
SA,minor_injury
SA,minor_injury
SA,minor_injury
SA,minor_injury
SA,minor_injury
SA,minor_injury
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,minor_injury
SA,serious_injury
SA,fatality
SA,fatality
SA,minor_injury
SA,minor_injury
SA,minor_injury
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,property_damage
SA,minor_injury
SA,property_damage
SA,property_damage
SA,serious_injury
